"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",7043.292,37.891,93.167,0.079,0.763,0.007,0.908,0.06,21232.281,908.915,18.572,3.011,0.289,84.912,18.943,84.267,1.196,0.122,0.106,0.453,10.917,0.852,3.373,4.023,0.177,0.572,65.499,11.591,1.434,33.466,286.533,8.629,4.002,0.767,1.032,0.227,2183.249,1.643,0.401,0.185,0.933,1.822,10.313,10.72,27.922,46.998,62.219,7.113,27.701,0,17611.753,4.386,360.872,112.836,40.514,44.753,114.987,11022.933,-3833.204,57823.376
"TTL_A02",39.481,101.818,1.311,0.209,0.267,0.004,0.188,0.002,41.052,6.739,350.723,23.596,0.033,2.772,0.148,25.066,1.109,0.089,0.06,0.091,0.237,0.069,0.193,0.228,0.047,0.039,84.841,10.67,0.031,6.669,10.287,0.201,0.095,0.04,0.024,0.012,9.819,0.123,0.055,0.033,0.034,0.143,0.117,0.146,1.742,1.219,0.504,0.335,0.636,0,258.723,2.884,0.259,0.287,0.222,0.581,0.009,57.003,-260.428,782.888
"TTL_A03",9.243,0.492,808.475,0.016,0.047,0.003,0.087,0.002,2944.162,1.468,0.06,0.105,0.062,1.337,0.193,0.708,0.211,0.028,0.028,0.126,0.996,0.157,0.215,0.225,0.199,0.064,0.87,0.179,0.075,0.504,18.504,0.445,1.543,0.14,0.07,0.008,644.445,0.318,0.071,0.087,0.254,0.27,0.236,0.37,7.32,3.987,5.233,0.446,1.603,0,2788.316,1.141,16.051,0.74,1.441,2.525,0.022,136.281,-158.946,7243.257
"TTL_B05",6.857,0.152,0.097,16.625,6.671,0.242,6.099,0.773,20.218,14.716,0.916,8.453,34.144,43.187,0.249,7.841,110.576,160.318,21.854,0.731,3.76,1.845,2.028,3.484,0.403,1.565,2.778,1385.645,0.434,24.185,3.989,3.062,0.114,0.201,0.178,0.034,4.103,0.075,0.099,0.028,0.059,0.596,0.304,0.204,3.637,5.71,0.401,0.044,2.061,0,1.246,0.001,0.092,0.681,0.128,0.098,0.005,5.342,-1379.563,539.775
"TTL_B06",31.579,0.305,3.865,42.506,2459.095,3.153,165.796,18.182,582.139,192.144,34.287,230.808,19635.181,3443.578,8.543,332.834,1324.434,511.654,292.69,163.099,186.403,41.514,68.22,223.815,10.254,47.018,319.286,26432.449,30.228,171.041,461.004,134.419,10.957,8.945,25.601,6.581,76.913,7.018,3.074,3.082,9.143,27.775,44.123,26.439,102.528,87.45,9.341,3.775,13.753,0,10.59,0.016,1.201,8.44,1.702,1.583,0.009,65.007,-44003.424,14153.146
"TTL_B07",0.731,0.017,0.051,0.188,1.479,0.447,2.67,0.167,3.582,1.596,0.336,0.461,0.861,9.825,0.19,3.673,15.305,59.578,92.657,29.102,98.098,33.818,19.557,41.817,0.931,6.399,38.735,3.831,0.526,16.31,2.319,0.504,0.134,0.101,0.058,0.017,0.561,0.07,0.044,0.026,0.089,0.167,0.359,0.145,0.239,0.203,0.071,0.052,0.257,0,0.994,0.005,0.36,0.386,0.018,0.31,0.008,109.459,-483.771,116.12
"TTL_B08",46.616,0.621,6.069,1.953,13.574,0.562,164.103,2.236,50.579,13.516,0.612,10.837,10.937,186.353,0.988,17.892,1438.366,81.068,26.499,9.239,20.55,8.287,6.842,8.033,0.336,1.029,60.179,56.649,3.333,959.155,6.325,3.404,0.578,0.24,0.247,0.038,4.865,0.102,0.07,0.019,0.052,4.989,0.948,1.464,7.653,1.247,0.298,0.235,1.169,0,5.521,0.004,0.225,1.762,0.364,0.309,0.017,475.744,-319.828,3405.082
"TTL_B09",4.463,0.051,23.199,14.952,935.34,1.828,125.833,55.434,6.337,0.834,0.445,5.811,65.655,9.219,0.099,6.589,61.135,8.229,5.776,0.796,1.826,0.581,0.996,1.044,0.043,0.237,1.7,131.412,0.589,64.825,2.058,6.538,1.838,2.216,0.582,0.464,1.536,0.879,0.038,0.022,0.217,0.639,2.261,0.177,1.139,0.881,0.102,0.041,0.241,0,1.203,0.004,66.655,619.144,0.15,0.177,0.008,83.47,-311.398,2016.559
"TTL_C10T12",3443.456,2.213,352.153,0.266,3.52,0.038,2.74,0.164,10443.455,238.767,4.165,23.246,2.702,217.036,31.06,48.211,12.606,1.64,1.694,5.827,54.171,7.602,10.179,16.892,0.923,3.051,81.526,8.146,3.144,23.654,410.553,19.018,32.706,9.95,3.401,1.416,8082.013,21.576,5.54,4.123,11.256,8.595,12.263,18.873,78.771,197.075,124.504,44.758,47.295,0,42794.874,21.758,260.116,10.47,99.335,144.764,104.171,29768.538,-10669.197,86712.763
"TTL_C13T15",46.01,2.596,89.597,1.41,11.631,0.178,4.533,0.62,80.801,20029.722,16.324,94.194,1.681,76.576,7.903,265.139,63.977,5.601,2.688,25.794,235.604,30.757,50.689,572.35,11.179,31.582,1776.456,12.755,6.222,117.218,331.224,26.877,5.128,10.916,3.942,7.165,345.064,11.626,4.826,2.414,6.355,5.908,30.592,60.499,140.946,90.22,82.46,38.15,131.121,0,15569.808,4.543,217.327,388.843,173.661,46.275,1026.285,7006.353,-6036.938,43403.377
