"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1607.21,9.011,20.75,0.044,0.09,0.001,0.085,0.036,1788.722,73.459,0.575,0.382,0.004,4.317,3.092,1.525,0.153,0.015,0.012,0.123,0.163,0.261,0.241,0.292,0.016,0.031,1.081,0.161,0.333,3.65,40.662,1.604,0.093,0.048,0.813,0.093,424.333,0.109,0.176,0.043,0.273,0.345,2.257,3.66,17.642,7.17,0.876,0.746,0.418,0,3480.358,0.489,51.763,75.438,2.403,3.794,10.587,550.663,-1521.303,6671.389
"TTL_A02",72.187,199.852,2.335,0.875,0.244,0.003,0.132,0.005,27.928,3.646,90.179,14.296,0.001,1.118,0.186,3.547,0.509,0.021,0.02,0.063,0.013,0.083,0.077,0.036,0.015,0.007,7.706,1.193,0.043,5.348,10.785,0.237,0.016,0.01,0.124,0.028,14.327,0.085,0.228,0.081,0.066,0.228,0.16,0.322,8.918,1.504,0.056,0.306,0.092,0,279.425,0.495,6.48,5.739,0.06,0.049,0.018,6.551,-7.246,760.812
"TTL_A03",2.378,0.161,235.124,0.012,0.014,0,0.012,0.001,317.36,0.137,0.003,0.01,0.001,0.055,0.035,0.006,0.018,0.002,0.002,0.019,0.017,0.04,0.018,0.008,0.002,0.001,0.014,0.004,0.017,0.072,4.117,0.147,0.105,0.008,0.154,0.008,166.509,0.037,0.051,0.037,0.121,0.064,0.07,0.054,6.043,0.792,0.099,0.054,0.034,0,458.118,0.14,1.723,0.084,0.713,0.213,0.927,150.19,-28.503,1317.653
"TTL_B05",14.539,0.345,0.169,69.194,7.224,0.165,4.95,4.324,16.179,8.271,0.269,6.072,2.256,20.442,0.358,1.253,58.367,46.416,8.911,0.579,0.393,3,0.961,0.665,0.148,0.382,0.327,153.606,0.761,20.306,5.041,4.915,0.021,0.064,1.265,0.111,6.025,0.079,0.485,0.079,0.179,0.982,0.39,0.358,21.581,8.282,0.065,0.041,0.297,0,79.547,0,0.014,0.07,0.027,0.008,0.01,0.2,-2.636,578.333
"TTL_B06",10.415,0.183,2.185,25.278,243.331,0.268,17.003,12.637,60.119,12.232,1.271,20.271,134.517,202.825,1.652,6.713,87.59,18.357,14.758,17.291,2.835,8.992,4.359,5.802,0.477,1.454,6.714,301.128,7.143,20.195,78.743,33.89,0.549,1.504,23.987,3.255,16.337,1.08,2.125,1.222,4.411,6.084,10.161,6.42,77.3,15.983,0.212,0.354,0.313,0,204.536,0.002,5.461,1.223,0.126,0.132,0.004,1769.547,-1668.947,1844.007
"TTL_B07",0.188,0.004,0.019,0.115,0.204,0.032,0.29,0.119,0.197,0.047,0.004,0.018,0.007,0.373,0.012,0.021,1.112,1.809,2.864,0.91,0.178,0.855,0.328,0.238,0.015,0.045,0.109,0.074,0.039,1.456,0.131,0.082,0.002,0.006,0.033,0.008,0.073,0.007,0.022,0.007,0.026,0.018,0.046,0.028,0.116,0.024,0.001,0.002,0.003,0,0.522,0.001,0.021,0.094,0.001,0.026,0.016,1.042,-6.172,7.869
"TTL_B08",13.843,0.203,1.794,1.345,2.122,0.055,19.168,1.789,5.623,0.884,0.023,1.058,0.116,12.399,0.179,0.323,109.791,3.376,1.57,1.139,0.342,1.996,0.528,0.244,0.018,0.038,0.921,1.05,0.995,126.189,1.142,0.8,0.032,0.014,0.273,0.021,1.2,0.008,0.047,0.005,0.015,1.267,0.187,1.422,6.436,0.242,0.006,0.021,0.019,0,28.618,0,0.021,0.354,0.07,0.026,0.04,132.065,-147.028,336.445
"TTL_B09",0.872,0.014,4.053,6.032,87.155,0.105,8.746,26.156,0.529,0.074,0.014,0.359,0.465,0.45,0.016,0.096,2.873,0.212,0.203,0.09,0.028,0.111,0.061,0.036,0.003,0.008,0.034,1.507,0.09,5.175,0.389,1.055,0.044,0.11,0.501,0.158,0.243,0.027,0.025,0.008,0.066,0.101,0.231,0.05,0.638,0.114,0.002,0.003,0.004,0,0.955,0,3.688,36.892,0,0.015,0.01,2.576,-5.511,187.959
"TTL_C10T12",64.949,0.081,6.323,0.039,0.114,0.001,0.055,0.026,88.796,2.657,0.037,0.277,0.011,1.327,0.505,0.231,0.245,0.041,0.021,0.25,0.207,0.431,0.209,0.177,0.013,0.028,0.195,0.043,0.107,0.776,6.387,1.053,0.109,0.145,0.422,0.096,140.474,0.222,0.425,0.162,0.573,0.206,0.412,0.417,4.818,2.735,0.159,0.319,0.088,0,2836.944,0.578,3.442,0.976,5.551,12.271,37.221,2672.06,-1095.109,4801.328
"TTL_C13T15",7.306,0.34,13.475,0.214,0.577,0.006,0.175,0.122,4.324,994.069,0.37,6.091,0.006,2.913,0.793,3.84,2.497,0.119,0.057,1.554,1.602,3.29,1.863,9.162,0.311,0.591,14.719,0.052,0.393,6.902,19.989,1.512,0.056,0.11,1.128,0.467,29.907,0.415,0.623,0.269,0.901,0.638,2.371,3.496,20.774,4.231,0.434,0.919,1.269,0,1454.531,0.142,0.362,6.72,6.619,4.241,10.254,2824.05,-1875.175,3598.986
