"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",22537.897,38.834,21.413,0.855,0.387,0.419,6.826,0.125,36356.675,6111.194,70.98,26.588,1.509,127.629,58.363,160.402,14.677,2.572,0.842,3.934,2.072,6.982,11.19,35.426,1.136,1.06,168.078,126.301,17.952,498.072,1208.529,68.143,3.248,1.432,9.672,1.071,4317.083,8.288,5.994,0.923,4.615,15.311,26.843,130.119,319.364,212.255,296.215,95.717,203.191,0,33733.336,9.903,28.446,4048.694,339.915,8.426,343.967,9127.511,-13524.033,107454.569
"TTL_A02",140.108,110.525,0.33,2.103,0.163,0.262,1.523,0.009,73.416,31.352,1185.397,103.777,0.214,4.517,0.507,47.954,6.205,1.476,0.52,0.49,0.07,0.472,0.63,0.62,0.124,0.042,142.208,130.703,0.4,106.353,22.94,1.946,0.108,0.174,0.262,0.054,20.628,0.639,0.949,0.137,0.232,1.59,1.194,1.851,21.571,5.964,2.855,4.583,4.337,0,978.296,0.001,0.076,4.475,1.43,0.112,0.457,21.265,-85.601,3104.996
"TTL_A03",5.968,0.061,18.431,0.023,0.017,0.023,0.136,0.001,543.142,1.044,0.054,0.102,0.265,0.28,0.084,0.144,0.234,0.242,0.063,0.126,0.027,0.16,0.107,0.11,0.068,0.011,0.23,0.412,0.076,1.164,15.318,1.084,1.053,0.056,0.474,0.016,135.208,0.165,0.116,0.032,0.151,0.233,0.186,0.567,8.596,2.01,3.334,0.585,1.119,0,969.062,0,0.013,0.682,2.602,0.469,22.148,603.793,-100.502,2241.374
"TTL_B05",7.923,0.055,0.008,47.552,1.187,4.487,15.799,0.496,12.511,23.644,1.018,12.441,254.369,23.021,0.267,4.96,201.526,602.557,37.441,1.097,0.205,3.13,1.878,2.246,0.331,0.397,1.544,4903.193,1.332,116.476,5.43,8.93,0.039,0.174,0.59,0.049,2.431,0.1,0.431,0.032,0.147,1.606,0.513,0.392,14.339,9.077,2.045,0.182,3.718,0,2667.399,0,65.115,0.842,21.483,0.019,0,246.032,-5833.451,3500.754
"TTL_B06",29.972,0.361,1.061,11.848,24.998,5.98,38.631,1.061,35.137,33.515,5.048,29.227,9292.522,152.936,1.401,20.318,196.624,160.047,38.562,21.131,1.459,12.064,11.365,19.893,0.983,1.243,24.133,5891.04,13.532,155.082,90.297,293.941,8.578,46.41,13.49,2.77,9.174,2.242,4.501,0.735,5.601,7.742,12.259,12.248,60.035,18.095,11.582,3.661,10.842,0,179.448,0,0.191,53.628,34.945,0.303,0.026,196.01,-15154.689,2155.237
"TTL_B07",10.199,0.014,0.07,26.37,7.001,358.629,299.642,4.415,25.207,20.057,0.659,2.249,285.518,142.837,1.397,6.705,1088.933,9340.872,4774.128,207.437,3.566,45.203,34.892,29.64,0.802,0.882,51.967,577.983,6.429,1622.598,7.91,17.819,0.082,0.673,1.238,0.121,4.49,0.29,0.406,0.03,0.178,2.392,4.945,3.309,5.947,2.158,1.323,0.988,6.26,0,4.312,0,0.043,4.04,4.692,0.06,0.031,3168.464,-17065.962,5152.538
"TTL_B08",32.811,0.131,0.261,3.288,1.251,5.644,207.812,0.718,21.408,19.797,0.789,9.159,45.58,52.255,0.973,9.686,1297.414,165.748,29.442,8.147,1.047,8.862,5.133,5.238,0.289,0.28,19.016,116.521,7.284,2408.461,5.408,7.538,0.754,0.457,0.795,0.059,3.373,0.289,0.388,0.041,0.158,7.523,1.261,6.841,15.818,1.6,2.702,0.593,2.249,0,36.36,0,0.825,28.659,7.48,0.058,0.882,1736.567,-688.677,5664.447
"TTL_B09",0.803,0.003,0.116,3.051,10.45,2.359,20.417,2.195,0.583,0.508,0.063,0.591,19.469,0.477,0.036,0.516,8.29,10.685,4.889,0.538,0.052,0.311,0.321,0.381,0.019,0.023,0.33,24.517,0.163,24.434,0.492,2.153,0.076,0.293,0.185,0.057,0.181,0.138,0.111,0.016,0.09,0.176,0.399,0.147,0.542,0.184,0.197,0.053,0.138,0,2.818,0,4.258,488.604,0.866,0.034,0.001,4.456,-88.602,554.653
"TTL_C10T12",5755.349,1.03,39.448,1.11,0.751,0.918,8.952,0.135,8183.84,337.226,5.826,43.121,19.199,160.429,47.713,37.86,21.695,10.792,4.252,9.313,2.917,14.838,10.557,13.019,0.815,0.855,59.354,33.736,16.663,117.578,888.883,65.44,9.656,7.184,12.687,3.021,6155.139,37.323,26.405,5.225,19.784,27.246,33.647,56.806,351.096,395.292,365.191,155.068,145.378,0,55186.687,0.002,2.04,22.712,121.741,26.94,1367.295,17331.705,-9258.575,88520.31
"TTL_C13T15",227.31,1.196,5.433,5.037,3.073,4.686,17.622,0.408,297.759,19361.336,28.929,246.847,56.784,88.552,18.909,240.377,160.516,91.215,15.294,76.37,27.086,110.309,93.813,365.119,10.665,11.362,743.109,241.808,33.304,994.079,379.688,172.268,4.044,19.036,14.127,6.837,198.299,27.421,26.718,3.511,14.628,31.332,69.561,86.667,315.231,116.708,255.189,78.903,268.582,0,36287.328,0.009,481.978,2613.608,1262.015,8.86,963.318,28115.329,-8700.264,86699.239
