"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",2927.566,0.439,13.442,0.004,0.009,0.002,0.017,0.011,9077.741,138.145,9.17,3.075,0.341,5.032,39.206,2.599,0.952,0.764,0.148,0.353,4.425,0.303,23.867,0.4,0.096,0.079,1.467,0.432,0.093,71.942,71.325,0.169,0.093,0.37,0.224,0.039,1187.946,0.459,0.142,0.11,0.141,8.052,0.922,14.968,34.167,8.518,0.349,8.21,5.323,0,9236.54,1.651,0.668,122.645,1.139,199.888,159.26,384.409,-5007.662,18762.185
"TTL_A02",3.982,0.183,0.041,0.031,0.001,0,0.003,0.002,13.148,0.289,54.358,67.97,0.037,0.926,0.054,42.479,0.054,0.072,0.024,0.074,0.384,0.062,0.144,0.031,0.531,0.013,16.328,0.041,0.017,6.692,0.419,0.019,0.007,0.032,0.021,0.011,2.392,0.016,0.015,0.02,0.033,0.055,0.127,0.658,0.24,0.041,0.053,0.025,0.125,0,14.055,2.197,0.106,43.969,0.019,1.54,0.344,3.781,-213.787,64.504
"TTL_A03",3.585,0.02,41.038,0.001,0.003,0,0.004,0.002,82.933,0.047,0.019,0.055,0.057,0.187,0.042,0.047,0.053,0.067,0.018,0.041,0.569,0.041,0.039,0.025,0.059,0.042,0.12,0.056,0.013,0.121,2.082,0.041,0.065,0.068,0.036,0.012,245.034,0.013,0.036,0.014,0.019,0.121,0.053,0.155,1.685,0.426,0.317,0.628,0.264,0,1435.273,0.281,0.028,0.197,3.699,11.929,13.114,1218.504,-309.49,2753.909
"TTL_B05",0.366,0,0.121,12.79,0.007,3.224,18.972,11.427,41.405,120.511,0.013,80.826,463.89,832.155,1.092,64.174,1415.107,3131.886,5.575,1.469,47.63,1.637,2.173,0.122,0.016,0.012,1.329,4496.696,3.13,757.288,1.371,0.057,0.01,0.087,0.021,0.009,0.048,0.007,0.013,0.013,0.009,0.011,0.076,0.369,0.172,0.136,0.031,0.102,0.008,0,211.029,0,0.04,0.672,0.007,0.437,0,47.031,-11514.668,262.143
"TTL_B06",4.093,0.02,3.021,15.31,37.407,10.543,98.285,66.822,66.916,15.019,0.423,7.95,31549.884,492.034,5.324,130.369,46.238,136.836,57.913,5.605,14.029,10.438,4.841,1.119,0.462,0.521,2.227,14605.086,15.119,16.247,21.736,31.093,2.357,35.23,2.986,0.681,2.099,0.345,0.469,0.126,0.277,0.842,1.709,5.081,3.641,1.057,0.935,0.643,1.363,0,47.316,0.009,0.395,16.114,0.018,7.699,0,31.529,-47071.531,564.322
"TTL_B07",0.151,0,0.039,1.069,0.009,1.932,5.184,5.595,4.925,11.386,0.026,15.189,40.331,313.308,0.356,8.959,160.242,4361.924,156.083,8.179,25.115,6.633,4.165,1.081,0.192,0.678,1.39,191.66,1.684,263.749,0.783,0.063,0.016,0.091,0.033,0.014,0.044,0.019,0.021,0.042,0.036,0.067,0.18,0.158,0.149,0.063,0.046,0.034,0.033,0,1.482,0.002,0.045,0.908,0,1.113,0.005,179.604,-5595.259,181.029
"TTL_B08",0.481,0,0.053,0.291,0.017,0.262,5.531,1.264,8.753,16.692,0.04,14.664,40.892,402.792,0.37,16.807,681.712,445.469,12.474,1.047,17.92,0.664,1.075,0.197,0.115,0.076,0.813,136.891,0.584,445.448,0.776,0.209,0.118,0.23,0.064,0.023,0.224,0.054,0.031,0.029,0.023,0.033,0.324,0.329,0.152,0.125,0.297,0.034,0.122,0,62.457,0.001,0.237,2.814,0.005,1.358,0,63.862,-670.451,1716.871
"TTL_B09",0.108,0,0.059,0.281,7.088,0.184,0.842,1.434,4.136,0.126,0.016,14.193,78.814,6.809,0.081,11.509,141.795,13.373,3.861,0.689,4.852,0.241,0.753,0.113,0.043,0.059,0.54,294.775,0.232,132.597,0.91,0.16,0.104,0.392,0.126,0.018,0.127,0.028,0.064,0.048,0.036,0.08,0.121,0.068,0.298,0.038,0.086,0.022,0.024,0,1.056,0.001,17.522,688.567,0,0.673,0,14.078,-516.227,928.025
"TTL_C10T12",2481.934,0.298,137.597,0.086,0.098,0.059,0.561,0.312,5810.902,31.879,2.768,36.923,6.898,173.736,48.183,33.167,24.956,28.647,7.315,15.294,147.278,9.087,15.909,4.366,4.604,4.299,101.784,8.354,5.247,29.876,332.637,8.485,1.32,6.241,2.63,0.769,5544.618,7.234,3.115,2.882,3.403,58.1,18.223,4.651,184.002,39.802,54.291,449.718,35.647,0,27335.643,7.589,13.985,93.263,7.061,702.912,612.434,3736.416,-10523.073,37916.414
"TTL_C13T15",35.334,0.07,18.804,0.151,0.261,0.104,0.996,0.593,103.239,5756.207,5.831,111.591,7.073,336.229,13.905,282.6,35.388,35.978,6.553,86.583,484.185,31.473,80.749,99.932,37.471,25.308,540.419,6.208,5.465,87.855,241.194,9.057,0.575,8.674,3.468,2.118,226.008,14.329,5.052,6.925,5.879,8.735,103.24,7.523,86.491,16.835,18.321,8.806,81.16,0,8983.068,1.555,3.739,151.963,27.933,241.357,429.275,7227.128,-6984.986,19171.977
