"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",10642.699,87.681,2.747,0.929,0.876,0.079,2.368,1.042,10610.509,37.202,6.061,2.526,0.061,17.353,19.463,13.598,0.648,0.348,0.045,0.218,0.104,0.178,0.629,0.188,0.02,0.172,5.579,0.758,0.436,1.537,469.33,7.675,1.442,0.46,5.843,0.085,384.696,1.575,0.509,1.386,2.055,6.717,28.962,18.447,87.942,26.688,120.608,18.136,18.282,0,7397.871,5.83,330.708,277.166,32.926,19.837,5.953,9882.368,-1441.476,39168.074
"TTL_A02",392.653,1625.637,0.255,15.018,1.876,0.266,3.031,0.113,118.092,1.672,862.513,94.286,0.017,3.739,0.974,26.312,1.924,0.708,0.114,0.137,0.008,0.046,0.187,0.023,0.019,0.04,36.023,4.768,0.044,1.914,101.596,1.022,0.228,0.109,0.726,0.021,10.395,0.843,0.501,1.983,0.398,4.081,1.774,1.359,37.144,4.624,6.506,6.084,3.772,0,430.938,3.986,26.499,15.418,0.315,0.255,0.001,13.199,-8.89,3857.298
"TTL_A03",0.733,0.098,0.641,0.049,0.132,0.005,0.1,0.035,35.031,0.014,0.017,0.031,0.013,0.041,0.018,0.026,0.035,0.066,0.006,0.014,0.003,0.01,0.012,0.003,0.001,0.005,0.032,0.01,0.002,0.009,2.483,0.305,1.457,0.023,0.909,0.005,2.962,0.028,0.017,0.068,0.045,0.049,0.135,0.08,0.747,0.077,0.324,0.043,0.045,0,242.721,0.002,0.212,0.357,0.043,1.116,0.099,1.711,-208.837,84.416
"TTL_B05",101.432,3.513,0.023,1590.28,69.926,22.003,142.021,121.334,103.508,4.868,3.199,49.504,142.422,85.317,2.361,11.755,276.898,1908.268,62.442,1.574,0.237,1.907,2.85,0.551,0.252,2.578,2.19,825.334,0.869,9.448,61.293,24.514,0.338,0.634,9.698,0.106,5.171,0.815,1.362,2.474,1.461,19.186,6.219,1.831,113.824,32.452,12.697,1.029,17.381,0,378.691,0.001,32.22,0.255,0.56,0.043,0,0.644,-1525.004,4748.757
"TTL_B06",29.056,0.795,0.142,214.128,958.427,13.987,192.412,147.259,139.804,2.835,5.964,64.416,2213.583,325.937,4.212,24.19,160.457,290.145,39.799,18.333,0.663,2.208,4.999,1.86,0.314,3.775,19.528,611.218,3.295,3.678,375.382,67.82,3.748,6.052,72.408,1.271,5.81,4.613,2.352,14.856,14.299,47.657,57.815,13.325,158.557,24.37,16.62,3.923,5.485,0,1672.905,0.004,659.039,5.038,2.464,0.688,0.001,40.917,-2355.48,6419.358
"TTL_B07",2.73,0.021,0.006,17.166,8.808,36.67,56.226,22.528,4.171,0.073,0.039,0.181,2.123,10.874,0.261,0.317,30.961,604.877,167.565,6.693,0.077,0.499,0.996,0.126,0.008,0.067,1.303,1.914,0.081,2.793,2.287,1.064,0.028,0.081,0.433,0.006,0.211,0.052,0.026,0.066,0.044,0.595,1.273,0.273,0.977,0.149,0.174,0.108,0.442,0,0.26,0.002,0.053,0.313,0.024,0.136,0.001,2486.583,-161.698,3314.115
"TTL_B08",257.905,5.535,0.678,78.433,55,19.692,1501.49,136.145,88.413,1.235,0.563,23.343,12.576,139.107,2.859,7.257,1413.419,373.167,29.331,8.219,0.508,3.306,3.709,0.459,0.07,0.606,14.788,14.072,3.562,159.264,34.722,9.911,0.513,0.185,4.864,0.037,2.959,0.107,0.31,0.24,0.191,71.191,7.342,18.469,91.717,2.368,2.217,1.584,2.304,0,45.914,0.001,0.081,1.008,0.162,0.134,0.001,107.394,-204.929,4555.707
"TTL_B09",7.438,0.131,0.764,175.714,1139.199,18.705,337.332,991.913,2.925,0.021,0.152,3.544,14.289,0.636,0.084,1.026,16.789,9.91,1.711,0.119,0.012,0.06,0.14,0.01,0.001,0.024,0.147,7.148,0.106,3.12,1.485,5.693,0.684,0.872,3.13,0.186,0.242,0.739,0.034,0.093,0.516,2.53,4.549,0.173,3.157,0.423,0.394,0.052,0.199,0,1.927,0.003,29.632,172.865,0.01,0.077,0.001,513.08,-679.929,2795.986
"TTL_C10T12",1956.597,2.12,3.873,1.762,1.739,0.201,2.928,1.238,2285.233,5.248,0.841,6.325,0.339,19.172,12.61,5.327,1.89,1.663,0.256,0.831,0.249,0.596,0.93,0.224,0.035,0.32,3.14,0.402,0.383,0.63,278.378,7.729,5.404,1.912,8.328,0.208,571.225,9.935,3.2,15.475,12.271,12.885,15.316,6.99,97.293,43.509,103.768,35.714,15.668,0,14893.049,14.502,43.539,4.361,22.388,64.157,15.053,7183.152,-2087.752,25714.757
"TTL_C13T15",33.524,2.365,1.284,3.843,3.761,0.522,3.752,2.718,17.932,371.691,2.316,31.252,0.139,8.166,3.42,23.393,8.039,2.559,0.266,2.585,0.598,1.492,3.461,4.927,0.352,2.77,53.715,0.235,0.451,2.13,181.148,7.03,0.747,1.221,6.766,0.487,18.346,3.579,1.456,6.55,5.074,9.073,26.162,14.734,96.06,11.91,66.4,20.178,31.151,0,2702.34,1.383,3.302,17.621,6.216,22.169,2.575,133.276,-2521.755,1468.859
"TTL_C16",49.489,9.237,0.1,5.862,2.078,0.506,4.047,1.688,32.741,1.856,218.618,33.748,0.054,5.373,1.367,5.422,10.393,1.77,0.485,3.715,0.483,1.768,2.406,1.581,0.639,1.248,110.125,0.705,0.255,29.433,90.864,6.683,0.261,0.334,14.649,0.059,5.162,3.455,0.959,3.289,2.209,78.478,23.679,6.21,10.432,5.474,10.617,3.559,13.292,0,151.124,0.007,0.235,24.511,5.341,2.474,0.733,1205.694,-198.18,2008.799
"TTL_C17_18",45.638,0.926,0.208,1.439,3.372,0.515,2.713,1.916,308.828,5.709,7.005,628.441,0.197,12.379,20.057,14.327,15.744,2.937,0.713,4.396,1.805,3.643,4.802,1.219,0.088,1.489,19.468,0.565,0.719,1.592,346.943,14.568,1.986,1.521,18.432,2.156,13.536,262.378,14.744,121.832,96.237,18.094,164.7,48.119,201.275,81.407,75.513,18.317,29.969,0,558.26,0.023,12.252,4.495,1.956,8.395,2.48,228.079,-858.371,2602.146
"TTL_C19",1171.672,76.931,13.266,136.984,136.618,27.243,192.044,144.044,235.453,8.414,22.963,51.787,96.933,249.481,20.071,33.72,71.246,155.856,8.428,15.217,1.987,11.361,11.771,5.814,0.497,5.196,63.683,45.81,13.254,23.827,1642.666,2600.13,426.947,1008.176,396.209,15.779,40.7,32.909,37.305,134.162,153.474,76.743,210.112,134.093,805.952,92.164,171.071,50.174,77.771,0,1271.902,0.019,1.837,2.797,2.509,14.833,0.001,164.885,-9654.787,2962.101
