"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",56495.146,851.145,1433.055,11.771,1.742,16.795,7.098,1.656,43002.47,6242.316,105.638,30.283,29.288,875.211,125.704,337.925,26.029,1.389,0.472,4.427,24.322,6.505,6.788,3.112,0.512,1.948,216.774,165.099,22.877,343.344,2719.971,42.379,24.05,3.152,34.146,1.64,5090.421,6.118,3.89,1.221,18.395,40.649,57.492,92.071,179.31,182.783,67.633,174.392,78.107,0,17959.625,3.638,6.674,2556.265,77.319,17.282,6.572,7920.683,-17168.699,130588.022
"TTL_A02",323.703,2407.975,29.726,27.413,0.579,6.504,1.344,0.033,104.282,61.599,2224.246,199.122,0.802,25.469,1.015,91.275,12.814,0.507,0.145,0.514,1.756,0.388,0.398,0.133,0.095,0.123,276.911,155.615,0.364,68.994,111.901,0.967,0.614,0.186,0.752,0.077,23.249,0.404,0.679,0.276,0.75,2.695,0.93,1.099,11.834,5.522,0.637,9.504,1.684,0,1040.745,0.588,24.212,0.885,0.307,0.222,0.035,16.099,-460.66,6820.038
"TTL_A03",125.993,23.549,24878.963,3.633,0.037,8.335,1.052,0.004,11828.408,25.442,0.797,0.576,2.18,12.924,2.07,0.974,3.042,0.104,0.086,0.987,1.932,0.919,0.626,0.071,0.123,0.042,4,2.54,1.148,8.231,339.296,3.415,15.276,0.911,3.617,0.015,3168.659,2.07,1.348,1.263,10.759,12.803,3.187,1.917,96.883,31.319,13.722,18.771,8.474,0,6869.317,0,0.007,0.255,2.887,0.972,0.482,376.907,-289.288,47634.031
"TTL_B05",21.856,1.395,0.516,1019.913,5.603,141.568,16.76,8.245,17.062,35.975,2.211,27.075,2326.86,154.838,0.638,10.897,493.662,339.256,19.412,1.474,2.131,3.02,1.449,0.708,0.313,1.771,3.28,9504.392,1.717,91.614,15.071,6.064,0.254,0.413,2.363,0.101,2.684,0.067,0.404,0.08,0.602,5.532,0.919,0.375,9.399,8.909,0.436,0.432,1.945,0,73.228,0,0.002,0.129,0.176,0.037,0,376.921,-5149.734,9612.42
"TTL_B06",4.285,0.294,1.765,14.987,10.85,14.012,3.265,1.433,4.622,4.686,0.791,5.374,5506.176,85.522,0.362,4.669,40.481,7.31,1.728,2.719,2.226,1.206,1.952,0.69,0.124,0.587,4.567,740.154,1.151,8.384,15.722,5.488,1.682,2.329,3.517,0.25,0.836,0.107,0.226,0.11,1.245,1.873,1.603,0.607,2.258,1.163,0.18,0.301,0.238,0,1893.259,0,0.015,12.683,7.327,0.6,0,2103.779,-7578.21,2955.557
"TTL_B07",95.021,3.319,21.487,874.458,89.873,27219.856,783.221,169.673,113.667,71.833,11.403,26.073,3966.127,2271.614,11.113,79.017,7064.148,11041.079,5595.67,1255.565,732.919,755.835,212.849,119.787,9.56,91.392,815.792,1752.722,69.683,3937.939,146.113,31.873,4.721,4.482,15.121,0.608,15.004,1.04,1.928,0.564,8.384,36.567,30.929,8.864,15.947,5.231,1.028,5.219,9.463,0,98.726,0.039,0.009,0.727,0.006,0.118,0.089,3740.572,-1435.127,72010.941
"TTL_B08",71.569,8.4,65.044,22.187,3.471,62.069,28.145,3.713,20.824,22.218,4.796,7.881,339.185,117.051,1.898,9.276,436.125,16.702,2.121,6.505,17.218,7.898,3.089,3.149,0.348,1.419,23.461,101.649,9.481,573.652,103.81,146.953,60.788,92.708,25.623,3.102,7.946,1.151,4.273,1.123,15.259,35.206,11.823,7.259,24.796,9.824,1.801,4.517,3.198,0,141.407,0,0.04,951.125,1.131,0.116,0.368,133.034,-489.316,3289.606
"TTL_B09",6.615,0.368,30.615,161.024,172.782,228.069,75.037,127.799,4.361,4.79,0.501,4.327,434.917,3.508,0.342,2.582,57.551,3.737,1.117,0.837,6.754,1.041,0.542,0.338,0.04,0.226,1.639,111.411,0.631,59.89,17.064,7.662,5.206,5.828,9.993,0.533,1.165,0.431,0.547,0.144,0.912,1.434,2.563,0.436,1.206,0.485,0.191,0.314,0.173,0,13.549,0.004,0.018,1.452,0.02,0.067,0.013,23.256,-33.172,1564.886
"TTL_C10T12",15213.943,33.838,2795.597,25.717,6.345,45.148,12.093,2.409,12517.684,2820.165,14.043,97.214,130.914,987.92,107.64,60.654,85.181,8.531,2.661,16.49,46.184,16.52,9.68,4.755,0.766,4.68,134.548,202.988,28.96,116.686,1985.618,58.726,102.48,23.252,64.25,6.233,10345.905,37.367,33.432,16.644,140.413,113.376,75.478,46.495,282.233,423.127,93.281,334.949,72.589,0,43374.089,0.012,5.136,22.075,77.471,55.876,28.401,23015.269,-15976.03,100408.101
"TTL_C13T15",68.761,10.009,196.196,31.554,4.569,48.066,5.476,2.945,36.169,38079.662,17.984,109.072,29.632,114.728,9.262,142.728,112.053,5.483,1.107,22.916,75.198,22.615,15.667,49.175,3.423,14.251,928.08,33.326,17.791,198.765,513.038,24.155,5.671,9.405,23.268,9.477,93.043,7.902,9.841,3.312,24.064,22.808,61.252,53.76,159.216,63.883,30.468,104.596,72.225,0,19021.704,0,0.04,7.99,144.349,19.283,20.127,67297.497,-19067.59,109141.444
