"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",4453.905,59.503,8.626,12.513,1.124,8.028,4.45,1.857,6231.031,65.016,36.222,20.125,13.746,53.54,19.742,22.182,5.917,6.018,2.756,17.265,5.474,7.418,18.84,32.421,2.068,2.194,28.357,40.511,42.261,52.852,514.814,29.886,0.567,4.449,36.726,5.499,409.816,65.815,83.185,20.249,20.842,85.835,207.298,154.07,802.214,745.788,226.915,550.226,77.587,0,5605.778,27.728,2.655,755.61,38.362,6.966,27.464,7220.474,-1417.225,27585.555
"TTL_A02",67.925,251.781,0.289,10.736,0.122,3.952,0.689,0.009,35.011,1.19,316.711,42.151,0.104,3.376,0.327,10.759,0.695,0.297,0.101,0.121,0.01,0.04,0.199,0.195,0.027,0.009,18.108,28.018,0.156,7.538,15.17,0.145,0.003,0.009,0.172,0.017,3.928,0.054,0.234,0.084,0.015,0.932,0.226,0.571,12.198,4.527,2.204,0.242,0.194,0,148.64,0.152,0.023,1.041,0.276,0.09,0.002,89.013,-48.591,1032.215
"TTL_A03",26.235,0.326,42.478,0.33,0.032,1.19,0.179,0.016,561.712,0.322,0.064,0.336,0.568,2.504,0.448,0.559,0.113,0.098,0.043,0.119,0.039,0.08,0.133,0.268,0.056,0.013,0.178,0.155,0.212,0.34,10.267,0.25,0.07,0.028,0.732,0.019,73.957,0.067,0.147,0.09,0.052,0.507,0.283,0.397,13.409,5.775,9.026,0.154,0.19,0,286.561,0.055,0.002,2.114,0.508,0.391,2.035,126.182,-44.342,1128.073
"TTL_B05",8.488,0.252,0.148,96.83,2.538,71.87,47.859,3.707,6.547,0.625,0.258,3.424,82.56,22.664,0.318,1.034,73.802,88.255,7.753,1.394,0.213,0.691,1.135,1.907,0.065,0.098,1.229,379.035,2.526,91.551,3.886,1.642,0.007,0.123,1.229,0.137,0.638,0.04,0.423,0.05,0.062,8.141,1.033,1.382,11.28,4.846,2.528,0.046,0.136,0,25.708,0.003,0.004,254.026,0.06,0.015,0.156,8663.587,-370.857,9609.106
"TTL_B06",6.898,0.357,0.432,40.069,14.986,63.033,12.318,3.456,10.538,0.744,0.772,7.586,4456.657,75.378,0.58,2.945,14.676,32.01,8.488,4.295,0.252,0.774,2.138,5.152,0.133,0.258,1.723,825.211,4.18,7.018,20.135,13.884,0.154,3.367,6.733,0.584,0.985,0.138,0.83,0.323,0.285,3.507,2.958,2.553,19.795,8.262,5.526,0.136,0.296,0,15.558,0.001,0.002,34.551,0.944,0.242,0.024,15.523,-4536.066,1224.289
"TTL_B07",20.239,0.654,0.277,257.314,12.448,11243.509,276.033,34.573,32.182,2.419,1.212,4.858,386.357,218.933,3.443,7.066,248.534,5462.606,3097.722,175.03,8.797,37.574,52.079,78.455,1.11,2.92,24.397,234.103,17.407,289.2,34.074,9.734,0.072,1.214,8.834,0.897,3.717,0.818,6.194,1.509,1.476,32.893,22.564,8.089,43.474,17.815,16.814,0.538,1.338,0,38.965,0.018,0.007,1174.105,0.055,0.047,0.953,25861.313,-36.847,49482.131
"TTL_B08",44.256,0.894,0.774,52.47,4.796,264.721,298.631,10.326,24.082,1.361,0.429,9.89,103.011,114.361,1.323,4.223,444.844,142.455,22.392,6.878,0.7,2.834,4.405,5.447,0.14,0.186,6.676,74.595,11.908,540.816,8.145,3.642,0.074,0.742,2.432,0.179,2.061,0.064,0.549,0.079,0.079,18.956,2.013,7.437,31.121,4.599,4.334,0.13,0.304,0,61.355,0.003,0.007,239.978,1.613,0.047,0.772,2229.323,-899.938,3919.921
"TTL_B09",2.164,0.058,1.116,162.304,94.909,360.994,99.612,96.057,1.499,0.086,0.116,2.149,151.384,0.958,0.086,0.642,8.134,5.706,1.936,0.464,0.063,0.157,0.527,0.688,0.019,0.031,0.168,52.289,0.717,17.545,1.539,1.739,0.022,0.315,1.626,0.234,0.212,0.105,0.231,0.054,0.053,1.86,1.626,0.308,2.912,1.119,0.967,0.019,0.033,0,2.737,0.001,0.004,49.372,0.11,0.027,0.04,19.285,-186.977,962.151
"TTL_C10T12",3289.268,4.875,39.285,6.31,0.748,16.321,4.816,0.614,4869.967,26.68,2.052,19.22,14.431,129.817,35.683,9.264,3.355,3.125,1.516,3.379,1.072,2.06,4.793,6.515,0.203,0.34,8.54,8.575,12.572,12.574,327.196,8.755,0.516,1.778,13.912,1.375,1681.295,4.743,10.891,5.105,3.146,21.199,14.604,23.5,265.04,359.147,355.01,15.843,9.444,0,20218.872,0.678,0.305,60.663,43.292,22.544,71.606,5498.714,-5167.546,32409.594
"TTL_C13T15",68.947,2.164,5.836,28.151,2.142,65.048,6.113,1.896,80.923,1200.145,5.087,43.29,10.42,30.598,6.754,29.061,11.374,8.269,1.974,12.271,4.473,6.542,17.949,155.008,1.811,2.399,113.884,13.863,21.391,43.75,192.196,10.743,0.08,1.892,13.174,5.8,53.06,2.093,9.008,2.511,1.593,10.798,32.803,60.936,389.779,140.584,319.921,11.04,27.768,0,5483.699,0.092,0.044,13.435,22.333,7.79,26.781,897.762,-4581.734,5157.515
